batch_idx,t,lambda,condition,n_lig_atoms,delta_v_mean,delta_v_median,delta_h_mean,delta_h_median
0,0.9,2.0,random,31,1.2058848369633779e-05,1.3314268471731339e-05,7.172762707341462e-05,7.176608050940558e-05
0,0.9,4.0,random,31,2.784721800708212e-05,3.193146039848216e-05,0.0001510139845777303,0.00015128057566471398
1,0.1,1.0,true,31,3.1662452784075867e-06,3.007673058164073e-06,7.5697812462749425e-06,6.743463018210605e-06
1,0.1,2.0,true,31,6.192112778080627e-06,5.985019470244879e-06,1.5170876395131927e-05,1.3503648006008007e-05
1,0.1,4.0,true,31,1.216864893649472e-05,1.172213796962751e-05,3.0475792300421745e-05,2.713975300139282e-05
1,0.1,1.0,random,31,9.694531399873085e-06,8.934535799198784e-06,2.174922155973036e-05,1.9198447262169793e-05
1,0.1,2.0,random,31,1.9123512174701318e-05,1.795485513866879e-05,4.472413638723083e-05,3.9475558878621086e-05
1,0.1,4.0,random,31,3.764313441934064e-05,3.483303953544237e-05,9.434288222109899e-05,8.335939492098987e-05
1,0.5,1.0,true,31,3.2392902085121023e-06,3.1137365112954285e-06,7.549157089670189e-06,6.723137630615383e-06
1,0.5,2.0,true,31,6.350144303723937e-06,6.0274414863670245e-06,1.5130076462810393e-05,1.3468611541611608e-05
1,0.5,4.0,true,31,1.2351049008429982e-05,1.1900944627996068e-05,3.0392600820050575e-05,2.7081687221652828e-05
1,0.5,1.0,random,31,9.26913708099164e-06,8.906657058105338e-06,2.185225639550481e-05,1.928380697790999e-05
1,0.5,2.0,random,31,1.8204100342700258e-05,1.7224401744897477e-05,4.49427570856642e-05,3.9665683289058506e-05
1,0.5,4.0,random,31,3.5851513530360535e-05,3.3302090741926804e-05,9.480801236350089e-05,8.372622687602416e-05
1,0.9,1.0,true,31,3.2587638543191133e-06,3.09000643028412e-06,7.529668437200598e-06,6.701929578412091e-06
1,0.9,2.0,true,31,6.395132004399784e-06,6.168144864204805e-06,1.5092339708644431e-05,1.3444318938127253e-05
1,0.9,4.0,true,31,1.2426393368514255e-05,1.2003049960185308e-05,3.0317272830870934e-05,2.7005711672245525e-05
1,0.9,1.0,random,31,8.787401384324767e-06,8.445580533589236e-06,2.1992522306391038e-05,1.938536843226757e-05
1,0.9,2.0,random,31,1.728920869936701e-05,1.6252406567218713e-05,4.5222212065709755e-05,3.989481047028676e-05
1,0.9,4.0,random,31,3.389508492546156e-05,3.178112820023671e-05,9.539774328004569e-05,8.420161611866206e-05
2,0.1,1.0,true,27,3.2957186704152264e-06,3.002204948643339e-06,6.48452896712115e-06,5.8983700910175685e-06
2,0.1,2.0,true,27,6.640556421189103e-06,6.031566044839565e-06,1.290581076318631e-05,1.1726085176633205e-05
2,0.1,4.0,true,27,1.3443526768242009e-05,1.2670438991335686e-05,2.5575664039934054e-05,2.3210668587125838e-05
2,0.1,1.0,random,27,1.1800464562838897e-05,1.10909495560918e-05,2.112607762683183e-05,1.9404509657761082e-05
2,0.1,2.0,random,27,2.3721493562334217e-05,2.2289586922852322e-05,4.358721707831137e-05,4.009534677607007e-05
2,0.1,4.0,random,27,4.920905485050753e-05,4.612834527506493e-05,9.245853289030492e-05,8.528623584425077e-05
2,0.5,1.0,true,27,3.2770524285297142e-06,3.018285269718035e-06,6.496211426565424e-06,5.918318493058905e-06
2,0.5,2.0,true,27,6.570929144800175e-06,5.962922841717955e-06,1.2936605344293639e-05,1.1744643416022882e-05
2,0.5,4.0,true,27,1.3509778000297956e-05,1.2549608982226346e-05,2.5628707589930855e-05,2.325472451047972e-05
2,0.5,1.0,random,27,1.119684111472452e-05,1.0555409062362742e-05,2.1117533833603375e-05,1.938720561156515e-05
2,0.5,2.0,random,27,2.269358083140105e-05,2.148383646272123e-05,4.3594613089226186e-05,4.008911128039472e-05
2,0.5,4.0,random,27,4.7348828957183287e-05,4.4624495785683393e-05,9.254926408175379e-05,8.536845416529104e-05
2,0.9,1.0,true,27,3.33097841576091e-06,3.1137365112954285e-06,6.511402261821786e-06,5.9015701481257565e-06
2,0.9,2.0,true,27,6.710951311106328e-06,6.4207233663182706e-06,1.2960862477484625e-05,1.176559817395173e-05
2,0.9,4.0,true,27,1.366027117910562e-05,1.280518790736096e-05,2.5681601982796565e-05,2.3292006517294794e-05
2,0.9,1.0,random,27,1.0726055734266993e-05,1.0068642950500362e-05,2.1150704924366437e-05,1.9413380869082175e-05
2,0.9,2.0,random,27,2.180202500312589e-05,2.0461415260797366e-05,4.36741320299916e-05,4.014642399852164e-05
2,0.9,4.0,random,27,4.549103687168099e-05,4.2719570046756417e-05,9.278138168156147e-05,8.556799002690241e-05
